File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\App.g.cs	47	_Domino.App.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\App.g.cs	72	_Domino.App.Main$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\CambiarContraseñaWindow.g.cs	83	_Domino.CambiarContrase.F1aWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\CambiarContraseñaWindow.xaml.cs	25	_Domino.CambiarContrase.F1aWindow.ClickCancel$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\GameWindow.g.cs	99	_Domino.GameWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\obj\Debug\JugarMultijugadorWindow.g.cs	131	_Domino.JugarMultijugadorWindow.InitializeComponent$$	0	5
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	55	_Domino.JugarMultijugadorWindow.ClickGoBack$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	60	_Domino.JugarMultijugadorWindow.ClickCreateGame$object.System.Windows.RoutedEventArgs$	0	7
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	77	_Domino.JugarMultijugadorWindow.ClickJoinGame$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	83	_Domino.JugarMultijugadorWindow.ClickLeaveGame$object.System.Windows.RoutedEventArgs$	0	8
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	100	_Domino.JugarMultijugadorWindow.ClickStartGame$object.System.Windows.RoutedEventArgs$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	105	_Domino.JugarMultijugadorWindow.ReciveGame$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	111	_Domino.JugarMultijugadorWindow.ReciveMember$string$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	118	_Domino.JugarMultijugadorWindow.SendUsername$$	0	2
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	125	_Domino.JugarMultijugadorWindow.ReciveMembers$string$$$	8	503
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	138	_Domino.JugarMultijugadorWindow.GameFull$$	0	3
C:\Users\ricar\Documents\GitHub\domino\DominoJuego\JugarMultijugadorWindow.xaml.cs	143	_Domino.JugarMultijugadorWindow.LeaveGame$bool$	0	8
